,matchId,gameMode,ban1,ban2,ban3,ban4,ban5,ban6,ban7,ban8,ban9,ban10,champ1,lane1,Name1,summonerId1,accountId1,champ2,lane2,Name2,summonerId2,accountId2,champ3,lane3,Name3,summonerId3,accountId3,champ4,lane4,Name4,summonerId4,accountId4,champ5,lane5,Name5,summonerId5,accountId5,champ6,lane6,Name6,summonerId6,accountId6,champ7,lane7,Name7,summonerId7,accountId7,champ8,lane8,Name8,summonerId8,accountId8,champ9,lane9,Name9,summonerId9,accountId9,champ10,lane10,Name10,summonerId10,accountId10,team1win
40,1798241908,Ranked-5v5-Solo,Pyke,Ekko,Yasuo,Morgana,Sylas,Renekton,Karma,Syndra,Khazix,Caitlyn,Kaisa,BOTTOM,Masters,-rmTXkyDkRNfcOikIl-ZHlyWmvT09bB5pGeOVfwra2BW,wKQq9Jme7_K1lqp4_NuMHSvRTbvFxeucgzYWT2c9yec,Viktor,MIDDLE,zNoStress,w4o_6BMduyRdfVBOaUgIYUmAhqkbYI0-5TuxOyWKKhV-JA,n4TWxy0E8S2-qFgKghwqqxheB59-Lj0x-wYFpSpiW56_ySQ,Kayn,JUNGLE,Kaynnn,Ia0w05Fg8ICEzpFNQcrA73WZGkxX5i-T3oQQOzP2KLTuaA,uJELkbGeKB0nMtdOUpGybvTdvFjIil96R6PAsQmwOjEneog,Senna,BOTTOM,Kim Hyoyeon,a0D_brZ77MET6CDjSEMsjGRkTQbQX7oWd5g36U-7kU1J,2HH5JX843qLIddH9lULdU1wTjH3UZhGLLLhtH9sEgj0,Vladimir,TOP,TideHunterRavege,58_KJffI6J8LiiH1OL55oJQhbGzhlS82JFO8EvRjTZHlVA,5qjfOAhZnGAd3dlwrt2T84G0D-DJkh2wCRWfYE-Cc99Xaic,Nautilus,BOTTOM,Diafloviski,_m5fnKUOv5hDDfsdrghggYZInJ2QyPMvY2agCti8-gnnOw,aSvpFgSlDeu-N5Edz-7LG-04HbbrbxMExn4fie7i3Eeb,MasterYi,JUNGLE,Expert Yi,bnhO6qDQFtCfv0RzuDKIqWGkJfzEQEKW5QVI5CoSNubi_6E,EcbrnqFCGLp6Q1oi_sHlqGnuKo_4maoOtXKQki8fx0rrf1s,Riven,TOP,Lazzarutti 1v9,WJWF0H8Bnse3oXJbF9Y8j_W6j1gir41cATlKRviga25vJA,6OdcMWhrX1PuPHm4DjD7GpZPYcwhtoM0sVndoRl8E0iyseE,Draven,BOTTOM,iLove,edB0ZBwYlXw8Q5QCV3KCkWtSrq-q0kSxxosJmUoRKQ_A,zFfD8YZYtLyNeCNg6a027oH8F7vmebc5jN11KjPcM0k,Katarina,MIDDLE, KatarinaArrived,1RKSDNO-DorZVAvhdEI7jDmByw-5k2kkISmYKJUpcn4Pesw,kgTocs80RxDqke0qmD6DdzD4bVaEXddvJN2sv0OdNFcGdGI,True
53,1797541947,Ranked-5v5-Solo,Leblanc,Ahri,Kayn,Fiora,Ekko,Akali,Jax,Leblanc,,Shaco,Nami,BOTTOM,Nascida da Bruma,6gTYa1TV-__dBwxVMFrBsvDUdDuUVQeu4bew857stHhAKsU,7-wT8pL64iukvSCdhcGrrWKHxcu9WhD9yL8N02hcQt35tSA,Caitlyn,BOTTOM,Fury RX,uNq7KlUyM8xKUDoDLiqU3A4EobxiiUqwoaIYckqBdfuwug,V4L83gH2J1hK7HJdyxJ8uSYbHZd96dtIG-p38WxBua_l_mY,Kayle,TOP,As visões dRIVEN,7UBKzU11X_9DCdz9kUFEYYDGomzXmulPwRps6snK_jN_uA,S3perMB8UrxEA3WB-GDbyJgKYZI484dW24S-zp7BusSzLbc,Zac,JUNGLE, King Mono Pedra,fTYm5unzMUtKY7Xfc9btLiP74eBHyoPqcUCBO8ZyXP6n3A,qX9_ghLNYTd7VWpAIyI340rWBiEo2qVQpPn0lpTfmzBgzCc,Fizz,MIDDLE,Vinni Rod,i4mHIz7LSvPNZEG_2dsqxWYWnlsilYE-3ynP2ErtF8unOw,7Eoy6yuR7ILJd4C5IHHvBKACXdh9BC-CLyxaZ2I8vvz8jyg,LeeSin,JUNGLE,Reporta o YEGO,etA0JpxVshbvsefyZ9PO1SE1nmg75YTYe0Tgpi-TaZaFaVk,FSR0ZCvh6jTyrLLltB_kHEgrnCBQju_lAyGRRhGDejc_5IeC_nmfhGSc,Teemo,TOP,PQ TOMEI BAN,5OaTXvDzu5FQOxG_iXTSc6WCKEGbtkZ-sL-ELX02PoN0Nyg,80_5QuYDayTkfB85j3iPgYQyBQPgNL4k-u9T1lyiLpvgaVzYQUtIzi5g,Yasuo,MIDDLE,Me Da Shild SUP,dfEpV4utq3a0FUUBhcZjh1n0cM08wpkSidBBeuN0efNvy-s,qhkrN8Hu0NkLDC2_SG6bwr_JdBpXFJZ7yLfLquU97dpgDwiTQUCQ7jDK,Lucian,BOTTOM,Fica Flinston Cz,Q4iCsCzGLpryGPSIkDhLDnF8zEYsxSf60oH343U4-u_MYg,6u3BIIBMO65Q_kwwmriTfvlJbYwjL9LJx56V3aS_fYQ8AaU,Senna,BOTTOM,scalmat2016,u4bDAfjlRI-BDIy3aGb3XI6RTmyBJKDdTM5uFuTGVFYzOKY,VilDb2V-cb7Hz_KumF_whINcpanHgF09ID2dfsQMBfN4WQ8,True
64,1796819924,Ranked-5v5-Solo,Malzahar,MasterYi,Aatrox,Zed,Fizz,Jax,Ryze,Leblanc,Morgana,Shaco,Kled,TOP,Phoenix2503,SFTNscvQCa99qiCUIuhPBSOvCPjiAmWECzoYzh82tI0tr_A,WuOElGx8tBvxkndyLxMO3mBwr07Ox28IHD6qkIxMGt_sIu8,Lux,BOTTOM,N4buc0d0n0z0r,AN3yV9NmAt1Y04y3N_cmH4jzhiqlrq8lcu1Wf0t_P9IfotQ,Y4ldqnNH56TFGIB-AuS2w68Jvj4raySYtFwXnZ_qy0m_y70,MissFortune,BOTTOM,tfp,yZrv0UNlUktKQRxE_-ij5XGEi9ZFJbQm3WapX2rpoWEE,b-WX5R53nqfBvhSAntH_XyEx1DWezAfHVaHxfw2amNo,LeeSin,JUNGLE,ADsN,RlSHBsJ10q9FlbDw_slhCRJW3-zQIJqYSQT0QpFIwkxQhQ,KQ2aTmSAePmoFilJAenA8KBtI3zs84NFOpeI5heQ0j33r6U,Yasuo,MIDDLE,Falveron ,RBUCe1pcfz0IG8i1JtghCuFnhVu2MmA2oVp-uQuGDGzRlIY,GRqElSQ9ea_m0Hwb3hyzbElzXKqdrkO-TQDuATYcGc2ubVU,Caitlyn,BOTTOM,NetinhoO BRUXO,tK-yX4qcKU9dBJFPZG9lHGZTbBvcI6NwiQacqTAQvbLsSrQ,KoYJCkpt_MCMLziIOV-nMmw4QInWto7zQzWTCcNhqtLgGxU,Pyke,BOTTOM,IguD4glock,RWR9LeWOX95KIO3EWUzg6Kp9guXdgTWm4PGaWgm5EgpgV-M,uz9Hq15KbZLvHLKv-t-TwYsTCLBmZXK8A56bUHaADqufEFqG1LJM8rJA,TwistedFate,MIDDLE,sjy,CRBVACILQ8cgSdG7UDYXUXIYv-FJZ99OJDNIbWnPMmDxyq4,oBKvZ7387cz6RokIHCzz49IR5Mz99xxKNA8uE8F6vmU0Elt0rvAGGcgr,Nasus,TOP,Faker is my Dad,ey1dVQ0wQ1iSQQP5Zi8IgC9PYa69mH0hflTsgGGt0AnvaQ,B6zdW1OiZJ5vsFPU_JmnrrICocgilmtxZLmInlnxU6tI,Elise,JUNGLE, JayA Lück,-GxNhC9KZvUdnPuRXDFDzRIKiAdJLErxsd0by1ckZ8NUVg,gehVa-BjtkUL3_knsJMeHjncJ1ASuQZNTLwMuhoI_rQNK8w,False
70,1794463461,Ranked-5v5-Solo,Renekton,Morgana,Jax,Blitzcrank,Senna,Zed,Senna,Brand,LeeSin,Ekko,Qiyana,MIDDLE,zProuD,eVISipBwN08nvGv8EyGqVENDFCzKl81rdDRLkbLrJtU4oQ,q5JNXR-fuhQxe198JjDJt7IoLhAc0GGbD-IP2YOMrBFK,Zyra,BOTTOM,Kaguya27,uhyoNX5J09SCE9bWPn497Jc5EBeYWgDwA60jXavKhsh7lBU,EfOps5-tMCvVAvg5i_ajO2n6pAgmsm8_04a03xla3kclehs,XinZhao,JUNGLE,Zapam,wfy5mzKyvYwf6XtV9ZTCEo34VKo2wdCaEZpuLgFpay0e2Jc,7C9K0_qjtMxldrzg5oUg6Tcs_a-cL49kgHc7P6oH9ZXvMsk,Riven,TOP,Mario Rabelo,LtXHd4642VBwbdxfU64e0WYVZV2iv8pK1Zfami8u4dBydKE,lbiXVr3xzlmgF-nv4i7yb73N75tgj6IHKWikenPm5NJEsx8,Caitlyn,BOTTOM,IFFNX Àmy 1,BKRS09EvU9oOxyCqMIKT9WFA-oxhuKdrcF18xXXlXoxvAQ,69OH3aZvxhskXEaysyxa0mpK3J0D0BnYrQxkcZxP0M-rX98,Thresh,BOTTOM,lISTKIl,W44vFLLNhOJGPPRjh599Q195UyTOT-vTY30ao9dPQPjKB2Q,za8n-r3WLQAsRm_oSrZKrGda6gvjaKfX29kK6nneYd2Hl5GlyfpnIIdC,Yorick,TOP,SeleneUNDERWORLD,9kJmm9tbpaGMIogEQZ3RqBZxl_ERc8b0XhyfmWDsWjHseC8,101cP5U3_RW1gRKAmrvOTExYoVOlhWSrdb_w-QvhDrwS9_ujASVRyTrw,Annie,MIDDLE,gutozk,Gp0hclHSjmZV_RQp6_JKAbkS1qC-ONc9BHXt_wUWHrwdg-g,flmLUcrHWBspuLVkpftiSaTUzGYaoaO-7sFz4KJIud2mv1E,Tristana,BOTTOM,DarKBulK,J1TKQGXmUxXE33VRtiP7M9py5xOfPdKizkk5PecUydhpvw,Zu4jw0gikiLFE9Oi8swMYThWhs743YQCHF02qLpmCdh1Yr8,Kayn,JUNGLE,DÏSGRAÇA,SZCegvSOmQoF_m4CmuCuR3bgJWBAri6XF8BhCr2UyMOnNA,4tNNWBrG9yxKjeysFpm9lM1Zb1QyX9KvBBJVyaUUhD_dOKU,True
75,1794766554,Ranked-5v5-Solo,Jinx,Senna,Morgana,Zed,Ekko,Zed,Morgana,Darius,Yasuo,Caitlyn,Kaisa,BOTTOM,zCarloos,pUqe0yNaOFv73H72oa1zdtUo_wfODSxaSQyZvckADmi8iA,rgYmHpFHA4GVZTncElb4CmDyzpZHXPFRve31kwi9UeCq9nI,Alistar,BOTTOM,ParaSetaMall,Ue0KAZ4IJOLQkHPJdGa_7ec_d5_S_-8zI2kGdc5xKOIksQI,y1Nnauy78LpG_B3IZbmoVIweEBvhhDwzjwrcymej9_TvJJQ74dJov1tL,Teemo,TOP,Guikills,q10xuDf5fC72hT7DQYBx1NlAYv_TwwTMxmGL5MtscdYVGA,ArbDFcfUxSv9KoXAv7XMI_7zaIP53wrBPXf1mxpbRh9Y3EY,Zoe,MIDDLE,Luan is Back,wDn9UVgiHQxBRp0PX23quy96_6HT-lv7Nx7-j99Q_EGkhYk,ejYNNAiclwt45buKkTQQ1JMDV7cgBTh795v3xsAhQRAz6Y4,Olaf,JUNGLE,LumeZ,1QarH53YqFf1IX8IPsJyIM2yjdXG-5bn6DM-tfuAZ30VuQ,pUGu_5wu3G0f1mJg7z4Mw-JZuDHQOm_nPMh08US85eYfDz8,Riven,TOP,EUW Quinn,rmyA5knaPU_8r3YtoLow2vTvbzpbrb8Z9oxjjhf0hUPTq6w,0mRTgs1pKx49KWwYmt7e_Th6lEf8wwIBjoFO91BQ6xkZAt0,Ahri,MIDDLE,Neiclo,fBMqRTUoUAR1RqTUkFxDHz1zIK8T0H6Fu61Jblg5HE25O0A,Md1E2iw8_jZth0uBM-Ey-J9FtG_m2SzfazyrB552uiDhZfBdM6fnU0XR,Nunu,JUNGLE,iSt0rmzing,1BBdQPEJh1-HC8v4Mf8CGQcFdRlzI5hzR_5VUm2wLa4c9fg,VhEIwhpfqJmobmXclV8DJV0BEu6VRNm2JEradpAs2GwdvNjibhI5vnci,Leona,BOTTOM,Winx Vegana,L1r5SpTQuT8zZkwBIYzMfTHv-7pK9ESWaX0zLifCyjyA8As,g5930dkcO26VYhKpxkRNCiJwA2Vf-_UtbtUMBJKCYiXJYP4,Vayne,BOTTOM,Kunkiado,P5707Sowz8N18P3bLAbeFdKo52wdBtQZ1guZgnFYYOFHIK4,KAI3z05KzK4E9ysU6ZqcwnBoP_Lg_6pmaqUeL_FTPgPblKjuaGCPjArd,False
127,1796068217,Ranked-5v5-Solo,Zed,Kayn,Talon,Darius,Ekko,Fiora,Quinn,Zed,Darius,Pyke,Senna,BOTTOM,FuryStormGaming,IT0kKNiw5ymxsVO0plqR_FRnnGX7vBvi1D7w3isZM1JujIo,Ybj576dQmbao2SVgSplrT1AUl3BwIG8OpxVqCNvS7lDqmoE,Tristana,BOTTOM,SuperNordestino,Iy2vrBvr3ZLvEm4-oxQw8ElbLzehSZvVZzUcd3hx9bxqjEo,WvHQzrig44VgtCXvum6hzkDWWOPAeaJiMJffqypc-cS5TKo,Rammus,JUNGLE,ImFelipeXx,rG6m8yoMiHsL_qCZF00xOUWkUXZW-k1n08u2cOmCmfboEpY,96CrEIbGqrc-1TyTy0WwL3qy6uHejCbakwGMt2vM6Uuaaql8l-c06rVg,Yasuo,MIDDLE,ARTHURTHELEGEND,UOPn0xKF7URQ_0DdLL8o_N4U4hu7XjLMXgREpS13BUwybY8,n3fCIE0AGNmAGjMzh757n_-6ntaNYguWdW5SZ_QTUAWYBBQ,Akali,TOP,Vitin mono Talon,BQe3y9ODv9YWmSO9J04jBTI_0n3kjX8K4fvLqaYRbzf1Tl8,1hOd0l2MdH298qctt8NLGQpm5j13dRvBJllwh2donwmuUTk,Garen,TOP,Michael e Alex,rpnn3wqTmGLw-2vuj3-p9k1r5z619fMRO5eiTZyCSJAT3A,uM2ZmwsS_Fbf8NhDTC3V2kl6GWDQP8I7L_b7nc3rVurQFKQ,Corki,MIDDLE,Yezu,oq6yf310lHhxkdXY65QfkmzcLc9wiSgeD57Y7opokyz6vw0,o-fgdSfwIhjNyGhXLqqF9yMt95Xa90VW2-9GC_8y1m2YfGs,Caitlyn,BOTTOM,Naraku01,8ATwFXt7cXbwv18WKpxQgDh_Ys2PzOIpgTRJNKvHYO00iQ,GmfCcEnUiZEcbb0iTuhi_CPZ4Vbw4whWJUre88yGOaIYHQ,Soraka,BOTTOM,Naiara,pSLCbcJah4zqoB29gAu5TrjdhZ-grVafUnYXDiLJ2RBkvw,o4JVOzQsm06xS9x-cSwxsDYbXncdEANmyc0ASeNbC_ngIsY,Sejuani,JUNGLE,Lee0,GJwu1xqJUoa7kB3ixBEmvU4-gf_10HsUlSbQRE5dLQLRtw,lSVx_M0jlZgTcRzcOXWZ6JIGz92n5i36353PBSkywB8dDpk,True
132,1795855799,Ranked-5v5-Solo,Nautilus,Ryze,Rammus,Yasuo,Ekko,Senna,,Draven,Yasuo,Darius,Kayle,TOP,Jamorripraele,Y5vARNDl0rXuPy9DRwtlrc12w0rqrVBdrjqOY5ySd-yZug,6-97fkc3K1hcBLjobuKhf2vqaHLnWSkEsDr60Wei72y-nc0,MasterYi,JUNGLE,FLA HbR,ldRYd9jJbo-Alhe2pKBaFTsZpoJb_uEkefiO-CZ8gEeJgAM,KOEWlvVjWLSQA77Zr4Gi986YtIJEBTS8-HVNnrPrw0a-wNhvM_DKS-ye,Zed,MIDDLE,LL STYLISHH BR,KVbkimprjCWF4X5Kg-AtQtBeEYDbMGxvA1yS0XHWvdIEZbk,6YVmfAmOuc_979LrvxmnSnr6WKz8lCmolkiarfMOtXYERgs,MissFortune,BOTTOM,XxAlexXBR,Ag4XHkdNZbLAJcrsO5t88_jvNi30Cg_3jztkQ0wgTQa7_g,sbct9aj2p1bV8Kw_6SlSlW0RtSoqx0cOCL_q4-7dPUj0gBE,Janna,BOTTOM,Kanao Kochó,e28ufKWjFMG1VcQ_mTjyQVK_-mnVIOKFYgxmnffZoPifDTQ,DX8j8zU_-mhtg09gFeRUBQq91jOhvBiSHik4zQ3ZzOwEeNU,Qiyana,MIDDLE,4LaNZOKA,cn4SILSGam6I1A1KX9O4RHRnESBB5KiP6q8zOI6P6ieV1TI,ZXiHmhZI32BfGx4PXwawjbGYBsSerPFcDE2cbk2dYb5sWnl3Dxsozj3V,Renekton,TOP,LuiggiVinicius,kQhcYbed5azLyoU3QxzDZyaOJo7OG-YnPFpJQHQejkbo,DzmqaTpr2nIOMRrlAKuha8daghU9oAWGpGhYz-aIAaV-pA,Thresh,BOTTOM,CriminalHook 190,5uUBPAlzmhnwrJ6myp79u3c4vRFdDTUvYC6P_3Tdc9b8_PY,mqER7pU1XAqMUB28RTuymnPV10peuiHXDTMcovu11mNHlnc,Ezreal,BOTTOM,Mokushiroku,k8sUr-CqvxAk3OH0jseUE5l7ZUQqElvc7VoDWoATGuOu1A,u-dQPOjtDn_QiSYQAIjLWAQ5a5QBJ1TaS7p_t_N1JaY8cBc,LeeSin,JUNGLE,XxBooladaoxX,u9wnvarXgF4j4C9uTGnW6MEI242cVeuFgURPhVUsnIYLyA,wFCaMK8QAPSsAgkasy61aY34AG6sLTfSgDYTn8GKCAamOvU,True
141,1723687713,Ranked-5v5-Solo,,Yasuo,Ahri,Darius,LeeSin,Yasuo,Zed,Jax,Yorick,Fizz,Khazix,JUNGLE,davilopes12345,rcOZpNYH6vFvgqEYuleTnrQiZNYCxo1Uj2xoLqTMPNU4Bw4,kss2NHAG19eHF-J1f71k31rKR5f8-Hio7xhJ4uWP80SWRJI,Ashe,BOTTOM,KTN smoco,t0d9BlJFdEvhz6NjErik1ZqEQb7whP5K8KVbQtPF6qr4U18,xaNxfFUPIbiptSiXcOQKwHmUnGiPnDYax7LWb7b7amzZCgY,Nami,BOTTOM,PoleseIFES,1NmhOAE1rQcKytGm4E9SoYc0PUUN7P_U8gMfyuQfBT0pTuI,lCUsdgFUnX0RkBpjoh8u5oqlNjI4hNEm60iR-riBdV7djzwPgmm1BVjo,Orianna,MIDDLE,Nonemacher,XplJQmN7aCLqtGsIRS7OBPB_dsgmUWCPgjtA6O0-aM-qmw8,60G1xtDVWqxinPvl3vwLroe3uIT3AFx5o0lQVKIc1NL3Mvo,Fiora,TOP,kevin01020102,ASFFOEg0OyDuVFrfzccdzb06h7AHdA0-lQc7bRpoQscZytM,sILw6ayPQp8SRe_7wPmKHANs5Ct3Ma8iIyUtzrItvdS9znY,Morgana,BOTTOM,Treshão Raiz,cP2noR7NOo2tpCNPvI6hvI_rOJB9f5QQKoqSnHpO4kCnJQ,QNe3b62FuAYcNyZTipYw6A9aGQv04HYzh2D5-zdCSrNwGcg,MasterYi,JUNGLE,Rdellmonte,bSrpXLH-OAD2NgTVS5VwxX7fqD_ZKR-F6ahRUPa0fG2HvA,89mpqEy4j7MkVTlP6v2jVAFNZGNo2zN9nxs1e4esyD-SRX8,Diana,MIDDLE,Deku BL,Uyu4WvbTEEQS4c8wvHETaj4BM0HVR6ShVJ97mLg0hL3-wco,kS0mxe9jLIVnskzt8zntVE5cnWZUlSQCL5-0vMdgeVy-sgk,Jinx,BOTTOM,ayumi chan,SVMyDRbg4mClCq7TnQsPwltVu3EWrpTWpVfP3Ex1nnjqhA,6-ELLjWUsK4qU8hZQZMe9E0AmOs3qqlcFqYTs1lL425sO6E,Garen,TOP,Tsukiyomi Sama,Apv7D5WiAQOwTJ4BaajgWG8DK6jGiW6oYXTOeiRc8xf7VHA,Yf-faXxziVZfYkNi_R_G6qACdL3_3tiMkZkWA6KADO3-StA,False
180,1797584484,Ranked-5v5-Flex,Tristana,Talon,Blitzcrank,Fiora,,Vi,Veigar,Morgana,Garen,Darius,Ashe,BOTTOM,chorigam,UWvCdRl6VI9oIXer9E649VvHCiGAHvt84Xr5qRlldgWoovo,AXhYBQibWrbIyF24qJ7uVbqLePBcGHqdjmly1KHNlkYXXss,Senna,BOTTOM,thr4sh7,SXmBxR5FM0O_V90O5xB7kc4y9yY3obxaPhEKYN9xlWW7Bw,Zy4JivgRmqKnqhj4mZd5ekzqNGjE5Bn_LlkA2BfT4fKOTus,Mordekaiser,TOP,TexNoéNinguem,7mnWsWUAeUEvQbGf2aiYn9D9f36Yjk0Lvn2vKnVklmP0A6I,2i_hlJKZa59mbDal7aPi5hCvGE5PPf66_7hp7WHPvKOyGNQ,Zed,MIDDLE,mathadami1,YG05TndZ0Jtty2O2tQ7w73BIH45SKdsn-WQRrUY__lv18iM,wWA5QCc7MdmKi4JJFdfd6GZo2qlEM9nH1sJ-s7C4M0nMJtc,Kayn,JUNGLE,A BIRI JHIN4,l5NGcGjw6fqAjTHNpcNUNJU6kye9lpecaGb_gxC6-4Xxugs,-1c-L64aBVGAi9eVgAWfPf4wnD_eNWM-rhcqWFXOR9h-P44,Shaco,JUNGLE,DoubleMoraes,bsq5rKoDipoQ6tsIQxQK_6bb2jKkdFSZwgrQlTi3fevAF9A,XlMfLHMedPQPRbJ_7Q6QU5HhJoJb6IZSsdWNwHLS9n71TAU,Jax,TOP,timo BR COGUMELO,Yr1uF4uuaw8EQZVuyFDLlG4pI7y8Qq5-ZiUZtWk9bGei7zc,VyHvIboVnBAlbKYFDk5WiMX2cr4qCeqWAPXj8GtZ3KQyCs6-xhPjoAZC,Swain,BOTTOM,OML Karshan,WpTtQIB3HbF8_LWs6wl_XaKWs4eZRO-5Y9LFWwTANpgA,S332LZFlAxcWf6aMtMpFdgHx08wKfttwh4E4qVblXTK_yQ,MissFortune,BOTTOM,alphantares,E-lfcE4-kZy_n4sD5w3NMI8hWs15YyhnuYYV5H4ZPDeJzYA,raAHK3Wdvs9naYvs8uYf1dk62-fhMff-oyMuf3AavQPKYmc,Diana,MIDDLE,Dêmi,VJipSYXgUrNK9kaKWgomKK8c3bs0LUmcZtUD1vmN4_kx,kd9ejlj1rtoRPFE-nsFgnnWCj11JSkhB4kkbtFS6BnmxnQ,True
202,1797833700,Ranked-5v5-Flex,Ryze,Morgana,Aatrox,Evelynn,Qiyana,Yasuo,Chogath,Zed,Morgana,Caitlyn,Tryndamere,TOP,Sirakyn,jy24kyI5u7kKCcAHv96z85sLlgZHbEoUp4SyzoUDzfJpsw,dAUGws_T84TrVFcyCalXxV6webnupBnlQCredkWiguGIk84,Thresh,BOTTOM,Kaikosen,S2xUF5icdYEknDdrLTQDmrEvrA4S4737K7UH3jOOEaz2pg,njbLWztEnbnhd5YDXRY-XhCpRT05vPy1I6GVlKcEeLSyx7Y,Olaf,JUNGLE,ohomemde68anos,rbv-_vaX8Qtjh_HiCzKo-PLMgwSgJaKmlqGlEKwcBnD0kg,CoMdPa35WRbC4GVsV9csPkpmfsoyrOr96M2NQTXmIutLYFc,Lucian,BOTTOM,heisenberg11,NJBKO8Aqnk6Ladp1UMyLc6dHHhottOr2Ahrp65bt6oV-_g,ZiwFwipHyZNd7v8ryMs1xXUAs3l9eVsJ4fKceomg952m0dY,Leblanc,MIDDLE,É o Padrin né,9viuLZsHblnnIjE2IMG_9-zDCQm_6PQVSNS5H8sVTjvEag,NsoQnJN0mws5CLw24PYKEQ30Ua5gQL9nY5AMrkMH1eiGV-A,Quinn,TOP,SABÃO CRACRA,E_C0xZa53EVDEV4mObpVuXDmDbyyiReFomSWBE0zk_vl3w,G0l_zQdr8GzI4xm8KDuXlIb94xBaYoVR8XF5b2hP8_YluD0,LeeSin,JUNGLE,KSalazar,2M0EIy5-pQMJjFbsSUCPvnqwg_d1wYBrv218WhoI3rDd1A,UDTXvyzFngZ0xnwHzptHYeJXcVe8FmnBrXQ4gz0uM6YM,Xayah,BOTTOM,Toolipe,bgViqNV5FevmONwDApATEDBplBSpjgQ7t66DbJOJwRXoYQ,mS69TMhtCxMEVSN70rRiAkBxtNUawT6N1LtVgdblSqc3s4k,Cassiopeia,MIDDLE,Ajim,WKy8c-RRjhWK3bCB1yYWM8RU4QPM8ThAHwXbkP284PiJtw,TLwFv-QxFNPhkNUYD7q3O_z2xYsUNemeTHLJzmhGFVXyp6M,Senna,BOTTOM,Ane,r0V3ak_72sblcPCoTN6u7cyipfFLFAWDXfInUb4sn5CwMA,fqwb-uuQvcFn-ngIcJXh62O0Qp_7nba2vv7QiHMwNC8js_c,True
